sol,temp_range,environmental_stress_index,temp_min,temp_max,temp_avg,mars_season,mission_phase,solar_longitude_deg,dust_season_risk,orbital_thermal_factor,wind_speed_avg,wind_speed_max
177,79.89231,0.23042661,177.72632,257.61862,213.72302,Spring_North,Primary,31.099,0.0,0.11088391,4.2453823,8.347256
178,80.01356,0.02421463,177.37569,257.38925,213.22777,Spring_North,Primary,31.5671,0.0,0.108331665,4.2039785,7.686911
179,80.33736,0.024279125,177.27827,257.61563,213.57303,Spring_North,Primary,32.039,0.0,0.10578518,4.25818,8.358367
180,79.3641,0.028728584,177.8549,257.21902,213.52887,Spring_North,Primary,32.5078,0.0,0.10328189,4.349139,7.764878
181,79.14823,0.032925777,178.56772,257.71594,213.01665,Spring_North,Primary,32.974506,0.0,0.10081618,4.3516774,8.667088
182,80.0343,0.027710991,177.88013,257.91443,213.50755,Spring_North,Primary,33.4448,0.0,0.09835829,4.2535434,8.279565
183,80.02959,0.022252848,177.73578,257.76535,213.43755,Spring_North,Primary,33.9122,0.0,0.09594234,4.3002067,8.28115
184,79.129585,0.03745706,178.2149,257.3445,212.63397,Spring_North,Primary,34.38203,0.0,0.09354092,4.5000496,8.297018
185,80.98353,0.033199426,177.24142,258.22495,213.21007,Spring_North,Primary,34.8462,0.0,0.091195285,4.3462644,8.891885
186,81.008675,0.031366438,176.84094,257.8496,212.95186,Spring_North,Primary,35.3126,0.0,0.08886539,4.2988896,8.397289
187,80.74137,0.038274787,176.49603,257.2374,212.24411,Spring_North,Primary,35.781425,0.0,0.086550854,4.2092648,8.2073
188,81.06211,0.04322557,176.84943,257.91153,212.61452,Spring_North,Primary,36.244,0.0,0.08429429,4.4633946,8.771011
189,80.89625,0.043188654,175.85725,256.75348,212.15283,Spring_North,Primary,36.707123,0.0,0.08206221,4.447749,8.651263
190,79.62632,0.04248953,176.27586,255.90219,212.43736,Spring_North,Primary,37.1734,0.0,0.07984249,4.2646985,8.758718
191,81.38815,0.03978342,175.96053,257.34866,212.21085,Spring_North,Primary,37.6374,0.0,0.077661246,4.235129,8.333289
192,80.6706,0.04463019,176.30565,256.97626,211.84758,Spring_North,Primary,38.099525,0.0,0.07551634,4.148677,8.335902
193,78.77946,0.04223436,176.76672,255.54617,212.17876,Spring_North,Primary,38.5648,0.0,0.073384725,4.288092,8.871438
194,80.36114,0.04148331,175.13002,255.49115,212.03262,Spring_North,Primary,39.0278,0.0,0.071291454,4.241289,8.958076
195,81.30976,0.036102943,175.41823,256.728,211.60974,Spring_North,Primary,39.493,0.0,0.06921643,4.1724076,8.381247
196,79.581055,0.030560419,176.68468,256.26575,212.11592,Spring_North,Primary,39.9522,0.0,0.06719602,4.058448,7.869439
197,80.4278,0.04769706,176.25616,256.68396,212.01521,Spring_North,Primary,40.4136,0.0,0.06519393,3.8827431,7.581509
198,80.9695,0.050569296,175.01653,255.98602,211.35098,Spring_North,Primary,40.877396,0.0,0.06320986,4.001219,8.108813
199,79.44515,0.051302712,176.74344,256.18857,211.91885,Spring_North,Primary,41.3356,0.0,0.061277814,4.0274215,8.557513
200,79.14885,0.04421674,177.0159,256.16473,211.60222,Spring_North,Primary,41.79474,0.0,0.059369978,3.964888,8.2951
201,78.18243,0.039074242,177.60017,255.78261,212.15222,Spring_North,Primary,42.257,0.0,0.057477742,4.165783,8.726302
202,78.17765,0.039117247,176.47731,254.65497,211.94106,Spring_North,Primary,42.7164,0.0,0.055625763,4.1771317,8.525682
203,78.82946,0.039331276,176.16805,254.9975,211.70963,Spring_North,Primary,43.17414,0.0,0.05380888,3.9802594,8.390438
204,78.88227,0.037884295,176.53563,255.4179,212.03758,Spring_North,Primary,43.6348,0.0,0.052009173,4.200574,9.746924
205,77.90183,0.034834784,176.89307,254.7949,212.13145,Spring_North,Primary,44.0934,0.0,0.050246272,4.081653,8.228892
206,77.59206,0.03583733,177.125,254.71706,211.59892,Spring_North,Primary,44.54995,0.0,0.048519872,4.0186605,8.39435
207,77.72508,0.03573995,177.0789,254.80399,212.28256,Spring_North,Primary,45.0098,0.0,0.04680997,4.239759,8.771071
208,78.3346,0.036632456,177.34567,255.68027,212.51414,Spring_North,Primary,45.4678,0.0,0.045135964,4.1096325,8.409949
209,77.0282,0.03536739,177.87727,254.90547,212.00246,Spring_North,Primary,45.92797,0.0,0.0434833,4.09808,8.505922
210,77.42369,0.030070899,178.05006,255.47375,212.43022,Spring_North,Primary,46.3822,0.0,0.041880846,4.165126,8.300831
211,77.66458,0.039148543,177.72166,255.38625,212.68384,Spring_North,Primary,46.8392,0.0,0.040297676,3.9237728,8.239034
212,78.47078,0.04560705,177.77818,256.24896,212.2206,Spring_North,Primary,47.298363,0.0,0.038736466,3.9120314,7.878678
213,77.33267,0.042189885,177.37752,254.71019,212.26509,Spring_North,Primary,47.7516,0.0,0.03722446,4.0626855,7.644598
214,77.35861,0.039537527,177.41736,254.77596,211.95367,Spring_North,Primary,48.205757,0.0,0.03573843,3.9055154,8.453874
