sol,wind_speed_avg,mars_season,temp_avg,environmental_stress_index,dust_season_risk,solar_longitude_deg,mission_phase,activity_count
243,2.6676817,Spring_North,213.60292,0.34852284,0.0,61.056,Primary,1
247,5.217457,Spring_North,208.20856,0.39214835,0.0,63.303,Primary,0
248,3.9743257,Spring_North,209.67036,0.39243987,0.0,63.575726,Primary,0
249,4.1987095,Spring_North,209.78842,0.3926704,0.0,64.0224,Primary,0
250,4.051368,Spring_North,209.1898,0.3161695,0.0,64.46959,Primary,1
251,4.163198,Spring_North,209.73705,0.26846957,0.0,64.9204,Primary,0
252,4.33629,Spring_North,209.55766,0.27034858,0.0,65.3694,Primary,0
253,2.6010778,Spring_North,212.49321,0.26891667,0.0,65.549,Primary,0
254,5.4631186,Spring_North,207.67842,0.29121625,0.0,66.446,Primary,0
255,4.372942,Spring_North,210.06288,0.29212826,0.0,66.7154,Primary,0
256,4.338894,Spring_North,209.25244,0.293199,0.0,67.16651,Primary,0
257,4.264603,Spring_North,209.97704,0.29223335,0.0,67.6124,Primary,1
258,4.3071003,Spring_North,209.57417,0.29233775,0.0,68.0608,Primary,0
259,3.3020537,Spring_North,204.20963,0.3371785,0.0,68.49001,Primary,0
260,4.264417,Spring_North,208.38371,0.2385911,0.0,68.96611,Primary,0
261,4.1879416,Spring_North,209.11841,0.16047716,0.0,69.40459,Primary,0
262,4.261956,Spring_North,209.34422,0.15637428,0.0,69.8548,Primary,0
263,4.3075747,Spring_North,209.1159,0.15536278,0.0,70.3034,Primary,0
264,4.42668,Spring_North,208.8722,0.15810649,0.0,70.74999,Primary,1
265,3.7829804,Spring_North,204.31236,0.1720466,0.0,71.17536,Primary,0
266,7.070468,Spring_North,203.93785,0.3942841,0.0,71.72001,Primary,0
267,4.1951756,Spring_North,209.01007,0.39648473,0.0,72.09499,Primary,0
268,3.204651,Spring_North,200.86479,0.45375043,0.0,72.444,Primary,0
284,4.607365,Spring_North,207.35701,0.44882986,0.0,79.84387,Primary,0
285,4.394274,Spring_North,209.19254,0.44844395,0.0,80.175,Primary,1
286,4.360825,Spring_North,208.75456,0.4484765,0.0,80.62259,Primary,0
287,4.446639,Spring_North,209.22913,0.43662667,0.0,81.074,Primary,0
288,4.3605294,Spring_North,209.26364,0.2093877,0.0,81.524,Primary,0
289,4.1640525,Spring_North,208.99654,0.20951514,0.0,81.97218,Primary,0
290,4.3723087,Spring_North,209.10258,0.05512159,0.0,82.424,Primary,0
291,4.3449497,Spring_North,209.26283,0.03144689,0.0,82.874,Primary,1
292,2.8762486,Spring_North,211.15056,0.19198403,0.0,83.054,Primary,0
293,5.319294,Spring_North,208.29385,0.24354959,0.0,83.955,Primary,0
294,2.7246585,Spring_North,211.43317,0.31138673,0.0,83.955,Primary,0
297,5.0776877,Spring_North,207.72005,0.34093297,0.0,85.759,Primary,0
298,4.469516,Spring_North,209.51352,0.3433662,0.0,86.0302,Primary,1
299,3.120856,Spring_North,211.0759,0.36647224,0.0,86.211,Primary,0
300,5.3125343,Spring_North,207.74225,0.40481803,0.0,87.114,Primary,0
301,4.5582905,Spring_North,209.35075,0.3597943,0.0,87.3852,Primary,0
302,4.4782033,Spring_North,209.24521,0.33276507,0.0,87.8378,Primary,0
303,4.5580835,Spring_North,208.88396,0.24166127,0.0,88.288376,Primary,0
304,4.533817,Spring_North,209.06242,0.22420806,0.0,88.7428,Primary,0
305,4.6076326,Spring_North,208.94463,0.22526158,0.0,89.1958,Primary,1
306,4.7401395,Spring_North,209.08842,0.10155462,0.0,89.65154,Primary,0
307,4.4906898,Summer_North,209.24426,0.031129777,0.0,90.1018,Primary,0
308,4.5143247,Summer_North,209.08371,0.031117572,0.0,90.553566,Primary,0
