Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
822,828,,"Two Scrapes SEIS Tether Burial, HP3 TEM-A/TEM-P Calibrations, Aeolian Change and Tau Images",019.81,2021-03-20 08:21
829,835,,"Two Scrapes SEIS Tether Burial, HP3 RAD Calibrations, Aeolian Change and Tau (ICC and IDC) Images",023.18,2021-03-27 12:56
836,842,,"Acquire and Dump for SEIS Tether Burial - Not Completed, HP3 RAD SINGLE Calibrations, Aeolian Change and Tau Images",026.52,2021-04-03 17:30
843,849,,"Unsafe IDS, Dump for SEIS Tether Burial (complete for last week) - Unsuccessful, HP3 RAD SINGLE Calibrations, Aeolian Change, and Tau Images",029.83,2021-04-10 22:04
850,855,,"Unsafe IDA and Dump for SEIS Tether Burial (complete from two weeks ago), HP3 RAD SINGLE Calibrations, Aeolian Change, and Tau Images",033.12,2021-04-18 02:39
856,862,,"Acquire and Dump for SEIS Tether Burial, TWINS Data Collection Over Diurnal Cycle, Power Cycle SEIS, Aeolian Change, and Tau Images",035.92,2021-04-24 06:34
863,869,,"Acquire and Dump for SEIS Tether Burial - Dump 4 (TWINS On during dump), SP's ON Overnight, HP3 RAD Single Calibrations, Engineering Block Library Update, Aeolian Change, and Tau Images",039.17,2021-05-01 11:09
870,876,,"Acquire and Dump for SEIS Tether Burial - Dump 5 (TWINS On during dump), Update SEIS thermal protection threshold, Installation of new WUTT, Observing (possible) Tianwen-1 Landing, and Tau Images",042.40,2021-05-08 15:43
877,883,,"Acquire and Dump for SEIS Tether Burial - Dump 6 (TWINS On during dump), Observation of Tianwen-1 Landing, and Tau Images",045.61,2021-05-15 20:18
884,890,,"Acquire and Dump SA Cleaning Experiment (TWINS On during dump), Installation of new WUTT, Update battery planning limit, IDC Science and Tau Images",048.80,2021-05-23 00:53
891,896,,"2 IDA Scrapes (Sol 891), 1 RAD Single, IDC Science and Tau Images",051.98,2021-05-30 05:28
897,903,,"SA Cleaning Activity Dump 2 (Sol 897), HP3 RAD Singles, Update LME curves, Install new WUTT, IDC Science and Tau Images",054.70,2021-06-05 09:24
